Length,repeat_frac,Intron_frac,TFBS_frac,CC,ATA,GGG,GTC,GTG,TAG,TCA,TTG,CancerGene_content
368,0.7309783,1.0,0.0,0.05722070844686648,0.01366120218579235,0.02185792349726776,0.01366120218579235,0.02459016393442623,0.0,0.02459016393442623,0.01092896174863388,0.0
556,0.5233813,1.0,0.3417266,0.07567567567567568,0.009025270758122744,0.016245487364620937,0.01444043321299639,0.032490974729241874,0.0018050541516245488,0.023465703971119134,0.01444043321299639,0.0
690,0.684058,1.0,0.0623188,0.06095791001451379,0.015988372093023256,0.0188953488372093,0.007267441860465116,0.02616279069767442,0.0,0.02180232558139535,0.010174418604651164,0.0
251,1.0,1.0,0.0,0.192,0.0,0.0,0.004016064257028112,0.0,0.0,0.0321285140562249,0.004016064257028112,1.0
529,0.215501,1.0,1.0,0.07007575757575757,0.011385199240986717,0.009487666034155597,0.009487666034155597,0.04364326375711575,0.0056925996204933585,0.009487666034155597,0.024667931688804556,0.0
192,0.0,0.0,1.0,0.14659685863874344,0.0,0.042105263157894736,0.031578947368421054,0.015789473684210527,0.0,0.010526315789473684,0.005263157894736842,0.5
1235,0.5157894,1.0,0.6761134,0.06158833063209076,0.0072992700729927005,0.0170316301703163,0.012165450121654502,0.0113544201135442,0.008110300081103,0.017842660178426603,0.0113544201135442,0.0
455,0.0,0.5076923,1.0,0.0881057268722467,0.011037527593818985,0.019867549668874173,0.017660044150110375,0.052980132450331126,0.004415011037527594,0.011037527593818985,0.019867549668874173,0.0
487,0.0,0.6488706,1.0,0.07407407407407407,0.010309278350515464,0.018556701030927835,0.018556701030927835,0.04536082474226804,0.004123711340206186,0.01443298969072165,0.020618556701030927,0.0
758,0.3245383,1.0,1.0,0.043593130779392336,0.010582010582010581,0.009259259259259259,0.006613756613756613,0.011904761904761904,0.01455026455026455,0.02513227513227513,0.03042328042328042,0.0
888,0.2804054,1.0,0.4436937,0.04284103720405862,0.012415349887133182,0.013544018058690745,0.010158013544018058,0.019187358916478554,0.01805869074492099,0.014672686230248307,0.039503386004514675,0.0
377,0.2732095,1.0,0.9814324,0.047872340425531915,0.021333333333333333,0.010666666666666666,0.013333333333333334,0.024,0.016,0.021333333333333333,0.024,0.0
228,0.0,1.0,1.0,0.0881057268722467,0.004424778761061947,0.01327433628318584,0.008849557522123894,0.004424778761061947,0.008849557522123894,0.008849557522123894,0.004424778761061947,0.0
367,0.147139,0.7384196,0.7847412,0.07377049180327869,0.005479452054794521,0.0410958904109589,0.005479452054794521,0.0273972602739726,0.00821917808219178,0.010958904109589041,0.019178082191780823,0.0
693,0.1976912,0.7532467,1.0,0.09248554913294797,0.00723589001447178,0.015918958031837915,0.005788712011577424,0.02604920405209841,0.010130246020260492,0.015918958031837915,0.008683068017366137,0.0
2668,0.1690405,0.63006,0.6131934,0.06561679790026247,0.012003000750187547,0.015378844711177795,0.0086271567891973,0.019504876219054765,0.009752438109527382,0.020630157539384845,0.023255813953488372,1.0
3525,0.1279433,0.4768794,0.6516312,0.06299659477866061,0.01021856372409878,0.015611694578484247,0.008799318762418393,0.01731478853250071,0.00908316775475447,0.02015327845586148,0.02157252341754187,1.0
3529,0.3485407,0.0243695,0.3941627,0.06235827664399093,0.012191664303941026,0.012475191380776865,0.009356393535582649,0.01701162461015027,0.009356393535582649,0.020130422455344486,0.022682166146867026,1.0
702,0.1723647,1.0,0.8931624,0.09843081312410841,0.002857142857142857,0.04285714285714286,0.012857142857142857,0.018571428571428572,0.008571428571428572,0.007142857142857143,0.011428571428571429,1.0
3517,0.2621552,0.966733,0.6613591,0.09328782707622298,0.005974395448079659,0.020768136557610242,0.011948790896159318,0.03556187766714083,0.004267425320056899,0.019630156472261736,0.007396870554765292,1.0
213,0.7511737,1.0,0.1502347,0.0330188679245283,0.018957345971563982,0.05687203791469194,0.009478672985781991,0.023696682464454975,0.018957345971563982,0.0,0.014218009478672985,0.0
